Date,Location,Coordinates,Shape,Contact (Hynek),Beings/Witnesses,Evidence/Physical Impact,Primary Source
1662,"Montreal, QC","45.5, -73.5",Fiery Serpents,NL,Multiple settlers,"Celestial ""omens""",Jesuit Relations
1915,"Ottawa, ON","45.4, -75.7",Ghost Plane,NL,Parliamentarians,High-altitude lights during WWI,Hansard Debates
1947,"Goose Bay, NL","53.3, -60.4",Disc,RV,Military Radar,"Detected at 9,000+ mph",USAF Intel
1950,"Rivers, MB","50.0, -100.2",Metallic Disc,RV,RCAF Pilot,High-speed maneuvers,RCAF Pilot Logs
1951,"Gander, NL","48.9, -54.5",Orange Circle,RV,U.S. Navy Pilot,Close proximity flight,U.S. Navy Records
1952,"North Bay, ON","46.3, -79.4",Amber Orbs,RV,RCAF Officers,Radar-visual confirmation,Project Magnet
1954,"Ennadai Lake, NU","61.2, -100.9",Metallic Cylinder,DD,Weather observers,"Metallic glint, no propulsion",DND Declassified
1960,"Clan Lake, NWT","62.7, -114.2",Sphere,CE2,2 Prospectors,Crashing sound; water disturbance,RCMP Files
1960,"Yellowknife, NWT","62.4, -114.3",Small Disc,CE2,Single Prospector,Radioactive readings at site,Witness Account
1966,"Agassiz, BC","49.2, -121.7",Light Ship,NL,Local residents,Hovering over Mt. Cheam,Local Legend/Press
1966,"Surrey (White Rock), BC","49.2, -122.8",Glowing Orbs,NL,Family,Photographs; multiple reports during 1966 PNW flap,Vancouver Sun Archives
"May 20, 1967","Falcon Lake, MB","49.6, -95.3",Saucer/Bowl,CE2,Stefan Michalak,Grid-pattern chest burns; radioactive soil,RCMP Form 63
"Oct 4, 1967","Shag Harbour, NS","43.4, -65.7",Row of Lights,CE2,11+ Witnesses,Yellow sulfurous foam; sonar hits,RCAF/Coast Guard
1967,"Shelburne, NS","43.7, -65.3",Disc,CE1,Military personnel,Object entered the water,Navy Radar Logs
1967,"St. Paul, AB","53.9, -111.3",Cultural,N/A,Town Council,Centennial UFO Landing Pad built,Municipal Records
1968,"Rivers, MB","50.0, -100.2",Glowing Ring,RV,Air Traffic Control,Persistent radar track,RCAF Base Records
1969,"Prince George, BC","53.9, -122.7",Yellow Sphere,CE1,3 Witnesses,Hovering at low altitude,RCMP Reports
"Jan 1, 1970","Duncan, BC","48.7, -123.7",Domed Saucer,CE3,Nurse Doreen Kendall,2 Tall men in dark suits seen through glass,Psychological Profile
1972,"Oromocto, NB","45.8, -66.4",Silver Discs,CE1,Military (CFB Gagetown),Multiple discs in formation,CFB Gagetown
1973,"Val-d'Or, QC","48.1, -77.7",Multi-colored,CE1,Police/Public,"Massive regional ""wave""",Ufology Quebec
1973,"Granby, QC","45.4, -72.7",Glowing Oval,CE3,Anonymous,Small humanoids reported,Quebec Archives
1974,"Langenburg, SK","50.8, -101.4",5 Saucers,CE2,Edwin Fuhr,5 rings of flattened/swirled grass,RCMP Report
1975,"Carman, MB","49.5, -98.0",Red Light,NL,"""Charlie Redstar""","1,000s of sightings over months",Charlie Redstar (Grant)
1977,"Montreal, QC","45.5, -73.6",Saucer,CE2,Florida Malboeuf,Landing gear marks in snow,Ufology Research
1978,"Clarenville, NL","48.1, -53.9",Oval,CE1,Cst. Jim Blackwood,Hovering light for 1.5 hours,RCMP Witness
1978,"Baskatong, QC","46.8, -75.9",Saucer,DD,Jacques Lavoie,Detailed 35mm photograph,Photo Analysis
1979,"Saddle Lake, AB","53.9, -111.6",Triangle,CE1,First Nations Community,"Silent, low-level flight",Community Logs
1979,"Portage la Prairie, MB","49.9724, -98.2892",Metallic Cylinder,DD,Military personnel (CFB),Radar operators; object hovered over runway 20+ min,Military Radar Logs
1980,"Nahanni Valley, NT","61.2, -124.0",Glowing Orbs,NL,Adventurers,Orbs following hikers,"""Headless Valley"" Lore"
1987,"L'Ancienne-Lorette, QC","46.8, -71.4",Disc,CE1,SQ Officers (2),Joint affidavit; official SQ incident report,SQ Incident Logs
1981,"Kelowna, BC","49.8, -119.4",Silver Sphere,DD,Local resident,Daylight photo of sphere,Photographic Evidence
1985,"Westmount, QC","45.4, -73.5",Rectangle,NL,Thousands of locals,Massive silent block of lights,Montreal Gazetter
1989,"Shelburne, NS","43.7, -65.3",Triangle,CE1,Fishermen,Large craft surfacing from water,Maritime UFO Logs
"Nov 7, 1990","Montreal, QC","45.5, -73.5",Oval/Luminous,CE1,Police & 40+ people,Seen over Place Bonaventure for 3 hours,Montreal Police
1991,"Carp, ON","45.3, -76.0",Red Flame/Craft,CE3,Diane Labenek,"""The Guardian"" VHS tapes; scorched field",MUFON/Bob Oechsler
1991,"St-Zotique, QC","45.2, -74.2",Metallic Disc,DD,Multiple witnesses,High-resolution daylight photo,Photo Analysis
1992,"l'Annonciation, QC","46.4108, -74.7820",Craft,CE3,Snowmobilers,"Video of supposed ""corpse"" (likely hoax)",Ufology Archives
1993,"Port Colborne, ON","42.8, -79.2",Bright Light,CE4,1 Witness,Missing time; hypnotic regression,Witness Account
1994,St-Jean-sur-Ric.,"45.3, -73.2",Oval,CE2,Local farmer,Dehydrated vegetation/ground marks,Trace Case
